DEPTH:1,CALI,AT10,AT30,AT60,AT90,GR,Rv,Rh,Csh_pred,Rss_pred,Rvsh,Rhsh,Rv_sim,Rh_sim,Rv_err,Rh_err
10058.75,12.8334,0.7618,0.6062,0.5971,0.5359,43.0308,0.7633,0.5075,0.8124131,-1.4456284,0.775,0.775,2.014137,1.0887157,163.8722690485821,114.52525566364157
10059.0,12.8061,0.7941,0.6487,0.6409,0.5664,45.7522,0.9036,0.5543,0.8312006,-1.6123619,0.775,0.775,2.0660014,1.0332434,128.64114821300194,86.4050906981541
10059.25,12.8116,0.8295,0.6846,0.6768,0.6045,49.5178,1.0158,0.5945,0.8451896,-1.7463665,0.775,0.775,2.1071625,0.9980836,107.43871584819232,67.88622228110708
10059.5,12.817,0.8648,0.7206,0.7127,0.6426,53.2835,1.0759,0.6259,0.85251856,-1.8205128,0.775,0.775,2.129643,0.9813417,97.94060446225706,56.78889912563994
10059.75,12.7407,0.9,0.7185,0.7126,0.6529,56.7429,1.0867,0.6493,0.85422087,-1.8380959,0.775,0.775,2.1349673,0.9776024,96.46335944767829,50.5625169008773
10060.0,12.6643,0.9351,0.7164,0.7126,0.6632,60.2023,1.0689,0.6663,0.85272294,-1.8224444,0.775,0.775,2.1303053,0.98089725,99.29883901414239,47.215555724341925
10060.25,12.7079,0.8991,0.6895,0.6822,0.6457,63.8413,1.0422,0.6787,0.8501387,-1.7958246,0.775,0.775,2.1223156,0.98667645,103.63803926481438,45.37740600325142
10060.5,12.7515,0.8631,0.6626,0.6517,0.6282,67.4802,1.0181,0.6871,0.84770656,-1.7711272,0.775,0.775,2.1148674,0.99223256,107.7268882041806,44.40875580140447
10060.75,12.6171,0.8351,0.6285,0.627,0.6081,68.5703,1.0004,0.6919,0.845866,-1.7526597,0.775,0.775,2.1092765,0.99651504,110.8433159862886,44.02587594005962
10061.0,12.4826,0.8071,0.5943,0.6023,0.5879,69.6604,0.9884,0.6928,0.84454983,-1.7395748,0.775,0.775,2.1053014,0.99961936,113.00094902443047,44.28685980636033
10061.25,12.4862,0.7658,0.5789,0.5847,0.5887,68.3498,0.9799,0.6887,0.84349453,-1.7291702,0.775,0.775,2.1021254,1.0021335,114.52448272938656,45.51088843547123
10061.5,12.4898,0.7245,0.5634,0.5671,0.5895,67.0392,0.9715,0.6771,0.84225744,-1.7170773,0.775,0.775,2.098414,1.005109,115.99731798706996,48.44320669358703
10061.75,12.4426,0.6938,0.5448,0.5397,0.5625,65.0145,0.9603,0.6554,0.8404387,-1.6994584,0.775,0.775,2.0929863,1.0095426,117.95130118620614,54.03457192847887
10062.0,12.3953,0.6631,0.5261,0.5122,0.5355,62.9897,0.944,0.622,0.8377149,-1.6733801,0.775,0.775,2.0849273,1.01632,120.86094496613843,63.39549680998088
10062.25,12.4207,0.6299,0.5174,0.5019,0.5284,59.3666,0.9218,0.5786,0.8339994,-1.6383635,0.775,0.775,2.074071,1.0258439,125.00227060978055,77.29759051484135
10062.5,12.4462,0.5968,0.5087,0.4915,0.5212,55.7434,0.8949,0.5304,0.8295232,-1.596986,0.775,0.775,2.0611997,1.0377712,130.3273734573226,95.65822491998227
10062.75,12.4844,0.5604,0.4864,0.4667,0.4909,53.6434,0.8662,0.484,0.8247787,-1.5540454,0.775,0.775,2.0478005,1.0509955,136.41197655553822,117.14782419283529
10063.0,12.5225,0.5239,0.4642,0.4419,0.4607,51.5433,0.8391,0.4444,0.82032067,-1.5145093,0.775,0.775,2.0354362,1.0640112,142.5737282102092,139.42646628344625
10063.25,12.5425,0.5213,0.4514,0.4289,0.4436,46.2486,0.8163,0.4138,0.81657815,-1.4818981,0.775,0.775,2.0252218,1.0754141,148.0977366955771,159.887400083694
10063.5,12.5625,0.5187,0.4385,0.4159,0.4265,40.954,0.7991,0.3925,0.81376606,-1.4577246,0.775,0.775,2.0176463,1.084288,152.48984015938217,176.2517200154104
10063.75,12.6243,0.5272,0.4356,0.4112,0.4187,38.856,0.7873,0.379,0.81184953,-1.4414073,0.775,0.775,2.0125313,1.0904943,155.62444817954756,187.72936018287035
