DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err
8821.25,4.327,0.7507,0.6943,0.6781,0.7264,37.7874,1.198,0.7559,2.78,0.58,AkerBP,2.0,0.2994749,0.64181334,1.2821465671062469,0.6219624844915655,7.0239204596199425,17.718946356453824
8821.5,4.3259,0.6637,0.5858,0.5659,0.5876,35.2457,1.172,0.743,2.78,0.58,AkerBP,2.0,0.28797308,0.6236602,1.2446280401945113,0.6104276438038074,6.196931757210872,17.84284740191017
8821.75,4.3248,0.6072,0.5071,0.4991,0.5167,35.0966,1.1341,0.715,2.78,0.58,AkerBP,2.0,0.27097607,0.58877385,1.1825436782836913,0.586370217182148,4.2715526217874284,17.990179415084192
8822.0,4.3237,0.5948,0.4656,0.482,0.4881,34.9474,1.0656,0.6633,2.78,0.58,AkerBP,2.0,0.2365681,0.5364542,1.0672055554389952,0.5461545939310766,0.15067149389969017,17.660998955061576
8822.25,4.3226,0.5794,0.4509,0.4719,0.4531,36.1736,0.9893,0.6071,2.78,0.58,AkerBP,2.0,0.19531643,0.4990476,0.9445551025867461,0.5130333789000961,4.522884606616176,15.494419551952532
8822.5,4.3215,0.5633,0.4554,0.5081,0.4849,37.3997,0.937,0.5695,2.78,0.58,AkerBP,2.0,0.16735625,0.48469472,0.8688283956050873,0.4984006910822513,7.275518078432524,12.484514296356222
8822.75,4.3204,0.5646,0.4756,0.553,0.5292,38.2187,0.9142,0.5534,2.78,0.58,AkerBP,2.0,0.15562913,0.48059875,0.8384525376558303,0.493768527530265,8.285655474094261,10.775473883219188
8823.0,4.3193,0.602,0.5109,0.5931,0.5785,39.0377,0.9084,0.55,2.78,0.58,AkerBP,2.0,0.15272553,0.47971353,0.8310260006785393,0.4927251281608186,8.517613311477403,10.413613061669354
8823.25,4.3182,0.6565,0.5625,0.6239,0.6402,39.3183,0.9101,0.5554,2.78,0.58,AkerBP,2.0,0.15368441,0.4800332,0.8335022491216659,0.493094514247328,8.416410381093737,11.218128511464174
8823.5,4.3171,0.7212,0.629,0.6448,0.6771,39.5988,0.9199,0.5778,2.78,0.58,AkerBP,2.0,0.15887979,0.4833148,0.848211687207222,0.4964636634859343,7.793054983452342,14.076901438917567
8823.75,4.316,0.7716,0.7031,0.703,0.7883,39.6787,0.9417,0.6321,2.78,0.58,AkerBP,2.0,0.16931395,0.5042769,0.8895885387063026,0.5156759682184289,5.533764605893317,18.41860967909684
8824.0,4.3149,0.8476,0.7717,0.7271,0.8548,39.7585,0.9712,0.7189,2.78,0.58,AkerBP,2.0,0.17830478,0.5793227,0.9717139628529547,0.5794433716281364,0.052920392602429665,19.39861293251684
8824.25,4.3138,0.937,0.8197,0.7339,0.8533,39.315,0.9955,0.8049,2.78,0.58,AkerBP,2.0,0.17886963,0.6902396,1.0640342777967453,0.6675447517202773,6.884407613937244,17.064883622775834
