DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q
7903.5,8.3726,6.2465,5.5919,5.5326,6.0211,3.4619,5.3158,5.0341,2.78,0.58,AkerBP,2.0,0.017449442,5.8040876,5.778905081693083,5.399125321496032,8.711860523215377,7.2510542400038265,0.3116163606398672,2.0273119459896214
7903.75,8.3715,5.9833,5.3902,5.3179,5.9636,3.4666,5.0492,4.7817,2.78,0.58,AkerBP,2.0,0.01962535,5.615276,5.588760261945427,5.193610416726187,10.68605446299269,8.614309068452382,0.29561194469844243,1.9133838794457423
7904.0,8.3704,5.9081,5.3047,5.1936,5.8217,3.4712,4.8594,4.602,2.78,0.58,AkerBP,2.0,0.021459615,5.473851,5.446331629436463,5.039466331707649,12.07827364358692,9.506004600340038,0.2829978955203298,1.8327586093217607
7904.25,8.3693,5.8043,5.1496,5.0887,5.6478,3.4827,4.7751,4.5222,2.78,0.58,AkerBP,2.0,0.022363352,5.4089813,5.381005883701146,4.968763456413869,12.688862719129357,9.874916111933786,0.27702751072348303,1.797092260725132
7904.5,8.3682,5.7209,4.9937,4.9738,5.4739,3.4942,4.7555,4.5036,2.78,0.58,AkerBP,2.0,0.022583386,5.393681,5.365597390327602,4.952073387476779,12.829300606194993,9.958108790229584,0.2756048984684593,1.7888132342983343
7904.75,8.3671,5.6692,4.9118,5.2151,5.458,3.5228,4.7751,4.5222,2.78,0.58,AkerBP,2.0,0.022363352,5.4089813,5.381005883701146,4.968763456413869,12.688862719129357,9.874916111933786,0.27702751072348303,1.797092260725132
7905.0,8.366,5.9223,5.1993,5.3765,5.7703,3.5514,4.8593,4.6021,2.78,0.58,AkerBP,2.0,0.021455498,5.4738836,5.446369156911969,5.03956936061645,12.081352394624108,9.505863858161485,0.28299001480380653,1.8327159331861458
7905.25,8.3649,6.049,5.3678,5.2916,5.7165,3.6448,5.0488,4.7817,2.78,0.58,AkerBP,2.0,0.019620098,5.6151657,5.588658017925918,5.193620548350498,10.692798643755314,8.61452095176397,0.2955848091499671,1.9132128995008026
7905.5,8.3638,6.0898,5.1714,5.2264,5.5351,3.7382,5.3151,5.0342,2.78,0.58,AkerBP,2.0,0.017439434,5.8038993,5.7787322405166925,5.399176690822377,8.722926012994908,7.249944198132306,0.31157368428915394,2.02701060342162
7905.75,8.3627,6.1328,5.1838,5.2859,5.5653,3.7416,5.5433,5.2506,2.78,0.58,AkerBP,2.0,0.01587495,5.9578366,5.933729638708756,5.566311336523554,7.043270952478764,6.012862082877258,0.32390590305018696,2.1250790445777072
7906.0,8.3616,6.2088,5.2982,5.3674,5.6237,3.7451,5.6638,5.3648,2.78,0.58,AkerBP,2.0,0.015144692,6.0367255,6.013139839610085,5.651649835766638,6.167940951482839,5.346887782706499,0.329970398511221,2.1770470031250455
7906.25,8.3605,6.2998,5.3954,5.4087,5.6472,3.8524,5.7325,5.4301,2.78,0.58,AkerBP,2.0,0.01475125,6.081144,6.057848046189174,5.6996519195633635,5.675500151577396,4.9640323302216,0.3333000535968868,2.2067274552159377
7906.5,8.3594,6.1304,5.3573,5.4129,5.5482,3.9598,5.8645,5.5554,2.78,0.58,AkerBP,2.0,0.014046695,6.165392,6.14262483892031,5.790390447758291,4.74251579708944,4.229946498151197,0.33945479753730395,2.2638569434762004
7906.75,8.3583,6.1224,5.1716,5.1631,5.4627,4.2746,6.151,5.8276,2.78,0.58,AkerBP,2.0,0.012707233,6.3450866,6.3233594005089255,5.982673925646993,2.8021362462839496,2.661025561929313,0.35180781196444666,2.3882756136890424
7907.0,8.3572,6.0303,5.2731,5.1987,5.41,4.5894,6.5617,6.2178,2.78,0.58,AkerBP,2.0,0.011158532,6.6017184,6.581214543962851,6.25338973954346,0.2974007339995854,0.5723847589735795,0.3674502270979795,2.56751170171758
7907.25,8.3561,6.0211,5.3144,5.1128,5.3219,5.0816,6.9216,6.5598,2.78,0.58,AkerBP,2.0,0.010073907,6.834271,6.814589824052527,6.494317441639151,1.5460323617006535,0.9982401652618886,0.3794913653819227,2.725301021739147
7907.5,8.355,6.0051,5.3176,5.0356,5.2369,5.5738,7.1049,6.7341,2.78,0.58,AkerBP,2.0,0.009597218,6.9581313,6.938786529535427,6.621024391486323,2.338012786451215,1.6791495302071109,0.3851132353662562,2.805889140091105
7907.75,8.3539,5.7439,5.3008,4.9829,5.19,5.8486,7.1554,6.782,2.78,0.58,AkerBP,2.0,0.009474773,6.9930634,6.973799661109224,6.656535724124798,2.5379481075939334,1.849959833016836,0.38660725308587157,2.828116177606595
7908.0,8.3528,5.6876,5.2095,4.8532,5.0487,6.1233,7.1508,6.7771,2.78,0.58,AkerBP,2.0,0.009490447,6.9898214,6.97054192407988,6.653094903378596,2.520809922248143,1.8297663694117499,0.38647312529109934,2.826091883982372
7908.25,8.3517,5.6712,5.2432,4.8364,4.9766,6.5127,7.1218,6.7488,2.78,0.58,AkerBP,2.0,0.009567544,6.969664,6.950324814980849,6.632388427994084,2.4077506391523373,1.7249225344641386,0.3856183119425344,2.813328268277249
7908.5,8.3506,5.7697,5.2604,4.8487,4.9405,6.9021,7.0839,6.7116,2.78,0.58,AkerBP,2.0,0.0096720345,6.943484,6.924060554262251,6.605392045233842,2.2563763708938405,1.5824535843339604,0.38449011373902725,2.7966529901146577
7908.75,8.3495,5.7965,5.3071,4.9791,5.1112,7.2661,7.0547,6.6831,2.78,0.58,AkerBP,2.0,0.009752554,6.9234653,6.903978102104738,6.5847590541780905,2.1364749442961717,1.4714869719427977,0.3836116021238675,2.783809337329698
7909.0,8.3484,5.7679,5.2104,5.1068,5.1992,7.6301,7.0432,6.6717,2.78,0.58,AkerBP,2.0,0.009786218,6.9155984,6.896082832096145,6.576593337775306,2.08878305179258,1.4255236630048427,0.38326378461579513,2.778752276798469
7909.25,8.3473,5.7962,5.2183,5.1496,5.063,7.6158,7.0521,6.6804,2.78,0.58,AkerBP,2.0,0.009761255,6.9216743,6.902178465221077,6.582866470347983,2.1259133418261698,1.4599953543502902,0.38353331250165834,2.7826661318875097
7909.5,8.3462,6.1946,5.4739,5.1028,5.1644,7.6015,7.0965,6.724,2.78,0.58,AkerBP,2.0,0.009636755,6.9521685,6.932773870201782,6.614362147891802,2.307139150260241,1.6305450938161576,0.38486657621018255,2.8021960518466718
7909.75,8.3451,6.4697,5.5297,5.265,5.2872,7.3552,7.194,6.8194,2.78,0.58,AkerBP,2.0,0.009376586,7.020091,7.000899963816628,6.684173347551348,2.684181765128887,1.9829699452833365,1.0,0.005090115789940792
7910.0,8.344,6.5598,5.7064,5.5004,5.494,7.1088,7.3233,6.9462,2.78,0.58,AkerBP,2.0,0.009049261,7.112479,7.093537698779255,6.778691574383338,3.137414843318509,2.411511698722504,1.0,0.004931796130078195
7910.25,8.3429,6.441,5.7845,5.7554,5.7592,8.6731,7.4273,7.0482,2.78,0.58,AkerBP,2.0,0.008801317,7.188838,7.170077850213274,6.856398798604237,3.46319860227439,2.7212792116535027,1.0,0.004810177291003195
7910.5,8.3418,6.5987,6.1547,5.8816,5.7081,10.2373,7.4774,7.0974,2.78,0.58,AkerBP,2.0,0.008685991,7.2263117,7.207633260153234,6.894423434657393,3.6077612518625015,2.859872141102474,1.0,0.004752529140394566
7910.75,8.3406,6.1793,6.4367,6.2524,6.1783,12.0822,7.4919,7.1116,2.78,0.58,AkerBP,2.0,0.008653436,7.2372465,7.218590323515237,6.905493965123923,3.648068934245833,2.8981668664727662,1.0,0.004736576456083099
7911.0,8.3395,6.5383,6.4817,6.3468,6.2646,13.9271,7.4945,7.1142,2.78,0.58,AkerBP,2.0,0.008647227,7.2392135,7.220562022989616,6.907498585941003,3.6551868304808153,2.9054765688200717,1.0,0.004733020364090413
7911.25,8.3384,7.5984,7.0195,6.6813,6.6439,15.5676,7.4959,7.1157,2.78,0.58,AkerBP,2.0,0.008643109,7.2402835,7.2216366699896755,6.908615229164017,3.658844568501772,2.910251568165936,1.0,0.004729796889772633
7911.5,8.3373,7.4396,6.2563,6.4109,6.1362,17.208,7.5066,7.1272,2.78,0.58,AkerBP,2.0,0.008611555,7.2484627,7.229847984556109,6.917158379529314,3.686782503981706,2.947042603977521,1.0,0.004704768818963706
7911.75,8.3362,7.1151,5.8664,5.6506,5.7159,16.8283,7.5686,7.194,2.78,0.58,AkerBP,2.0,0.00843118,7.296322,7.277891152659431,6.967083235542365,3.840985748230436,3.154250270470324,1.0,0.004560267728362184
7912.0,8.3351,6.8293,5.7565,5.4003,5.8486,16.4485,7.7934,7.4376,2.78,0.58,AkerBP,2.0,0.007818553,7.476395,7.458584390040487,7.153806691018184,4.296143017932006,3.8156570531060483,1.0,0.004055687881808224
7912.25,8.334,6.6679,5.6049,5.2649,5.5521,15.5991,8.3164,8.0118,2.78,0.58,AkerBP,2.0,0.006612464,7.9369187,7.920290545541793,7.62504833401009,4.762991852943667,4.827275593373635,0.4154197687067126,3.3413880936371996
