DEPTH,CAL,AT10,AT30,AT60,AT90,GR,Rv,Rh,Rvsh,Rhsh,WNAME,WIDX,Csh_pred,Rss_pred,Rv_sim,Rh_sim,Rv_err,Rh_err,Csh_q,Rss_q,Rv_sim_q,Rh_sim_q
9961.0,12.5225,4.3761,3.0844,2.7676,2.727,61.0045,4.8458,2.2109,2.813,0.775,Chevron,1.0,0.49174467,5.637202,4.74951660618186,1.8968064982730544,1.986945268441528,14.206590154549978,0.4408728516902555,1.8569523777207584,2.278447819306696,0.8699675427120899
9961.25,12.5225,4.3238,3.1324,2.7943,2.817,60.8202,4.6234,2.3193,2.813,0.775,Chevron,1.0,0.43999198,5.343971,4.6159929475188255,1.9824095308407368,0.1602079093562028,14.52552361312738,0.411525023799313,1.7538700248562191,2.1897285130838293,0.8665294415891267
9961.5,12.5225,4.2395,3.1765,2.818,2.9093,60.6359,4.4789,2.3862,2.813,0.775,Chevron,1.0,0.4082536,5.1614957,4.524437435746193,2.035817497885382,1.0167102580140748,14.683702209145002,0.3910904990557822,1.6878456851300696,2.1278828476473173,0.8653942597007109
9961.75,12.5607,4.0306,3.036,2.6772,2.7625,60.9219,4.387,2.4161,2.813,0.775,Chevron,1.0,0.39287892,5.044553,4.45690780004859,2.0583827285791303,1.593521769970154,14.805565639703232,0.3778955352707296,1.6463788403324158,2.087239767923157,0.8654694237288955
9962.0,12.5989,3.8149,2.8848,2.5269,2.6017,61.2079,4.3187,2.4156,2.813,0.775,Chevron,1.0,0.38955057,4.95788,4.396740242123604,2.0554862859610545,1.807030868631866,14.907837143523158,0.3685936484896223,1.6159777808913156,2.0571925679557297,0.8663318321832614
9962.25,12.6353,3.5724,2.8357,2.5324,2.5866,63.3491,4.2477,2.3884,2.813,0.775,Chevron,1.0,0.39547804,4.868103,4.3241693471968174,2.0301872933617875,1.800253012143452,14.998019872643292,0.3596021946096803,1.58478082797981,2.0264511376999548,0.8680951794683136
9962.5,12.6716,3.3298,2.7866,2.5379,2.5715,65.4903,4.1556,2.3358,2.813,0.775,Chevron,1.0,0.40938273,4.750388,4.223719925999641,1.983928286710881,1.639232024247803,15.06429117600475,0.3480319544234446,1.5446723751284706,1.9860909172617545,0.8711487827438513
9962.75,12.7334,3.2772,2.7036,2.4723,2.4684,65.8134,4.0355,2.2605,2.813,0.775,Chevron,1.0,0.4301743,4.593422,4.090336215853691,1.9201671951671575,1.358845641275957,15.055642770751705,0.3321039127761727,1.4927654996497666,1.9312205429981746,0.8759431522120997
9963.0,12.7952,3.2275,2.6201,2.4056,2.3639,66.1365,3.8935,2.1692,2.813,0.775,Chevron,1.0,0.45591772,4.40252,3.93227693977952,1.8461302232206325,0.9959404078469218,14.893498837330238,0.3114955824904685,1.4319400727166156,1.8621341392199975,0.8827490797411638
9963.25,12.8207,3.2126,2.5027,2.2941,2.2399,65.5573,3.7463,2.0724,2.813,0.775,Chevron,1.0,0.48363945,4.1985974,3.768876079529524,1.7715361483369172,0.6026233758514744,14.517653525529957,0.2876840841971467,1.3695775226218698,1.784827196135974,0.8913042815154777
9963.5,12.8461,3.1988,2.3844,2.1812,2.1152,64.978,3.6142,1.98,2.813,0.775,Chevron,1.0,0.510665,4.0099754,3.622071852535009,1.7044002374106575,0.2178034567818449,13.91917992875466,0.2639424535803524,1.3143122449806377,1.7098795681912784,0.9006033881261988
9963.75,12.7116,2.9931,2.3101,2.1352,2.0335,65.6539,3.5158,1.8977,2.813,0.775,Chevron,1.0,0.5359653,3.8644795,3.510009347975254,1.6487488922789817,0.1647036812317519,13.118570254572298,0.2451281093582417,1.2736896659686388,1.65101789786535,0.9089598094656894
9964.0,12.5771,2.7779,2.2379,2.0926,1.9539,66.3299,3.4654,1.8247,2.813,0.775,Chevron,1.0,0.56107646,3.7847867,3.4445991079509257,1.6040585288420175,0.6002450524924712,12.091931339835726,0.2368900641883503,1.2532500616261353,1.6227393246452957,0.9145693651902542
9964.25,12.6207,2.6532,2.1909,2.0435,1.9007,67.2971,3.4736,1.7553,2.813,0.775,Chevron,1.0,0.5894721,3.791195,3.434441538482905,1.567007270440706,1.1273163725557127,10.727096767463909,0.2443589887569598,1.2571787949770048,1.6373576913230585,0.9163628156260484
9964.5,12.6643,2.5347,2.1455,1.994,1.8491,68.2643,3.5496,1.6822,2.813,0.775,Chevron,1.0,0.625334,3.9131103,3.491550497412682,1.5335702214489118,1.6353815243215573,8.835440408458457,0.2708657194123606,1.2897565268777729,1.7023509660652079,0.9148312258129254
9964.75,12.6425,2.412,2.1263,1.9718,1.8195,69.4493,3.7007,1.6011,2.813,0.775,Chevron,1.0,0.67140776,4.20179,3.636614660143852,1.5009507094748626,1.7317085917839223,6.255030324473007,0.316167310646376,1.3555304301265974,1.8163346643824014,0.9124339087778672
9965.0,12.6207,2.2887,2.1094,1.952,1.7918,70.6343,3.93,1.514,2.813,0.775,Chevron,1.0,0.72575545,4.7188635,3.8898530468046655,1.4684290096502044,1.021550971891445,3.009972942522828,0.3752563982535369,1.4582106170639737,1.966604001296679,0.9126334686200526
9965.25,12.6497,2.3031,2.1112,1.953,1.7833,71.5563,4.2306,1.4279,2.813,0.775,Chevron,1.0,0.77957857,5.473255,4.2422691039145,1.4383597516509454,0.2758262164822862,0.7325269032106927,0.4389041706678707,1.5971115329404346,2.130770052199842,0.9176470890630954
9965.5,12.6788,2.332,2.1149,1.9562,1.7769,72.4782,4.5791,1.351,2.813,0.775,Chevron,1.0,0.822483,6.3756075,4.648257282435894,1.4155896910552843,1.510281112792774,4.780880166934444,0.4970880549537758,1.7625937608628883,2.284738155186866,0.9267288739237216
9965.75,12.7006,2.3546,2.0984,1.9381,1.7688,74.5817,4.9349,1.2891,2.813,0.775,Chevron,1.0,0.85148656,7.276888,5.045787708818913,1.4012391064997498,2.2470102498310576,8.699023078097115,0.5432523771932868,1.93486164658964,2.4119123945844168,0.9370329709415238
9966.0,12.7225,2.376,2.0793,1.9174,1.7604,76.6852,5.251,1.244,2.813,0.775,Chevron,1.0,0.86999595,8.042913,5.379029864430428,1.3923002793650674,2.4381996654052065,11.921244321950756,0.5757978476153794,2.089754002516648,2.5061974911640004,0.9459563942178443
9966.25,12.6716,2.4116,2.0736,1.9319,1.7686,77.8967,5.4942,1.2144,2.813,0.775,Chevron,1.0,0.88149244,8.605665,5.620802142262459,1.3865646677854753,2.3042871075399294,14.176932459278277,0.596564390512554,2.20969000341048,2.569603263816038,0.9523361633076171
9966.5,12.6207,2.4494,2.07,1.9518,1.7792,79.1081,5.6607,1.1974,2.813,0.775,Chevron,1.0,0.88809687,8.974338,5.778521322548389,1.3833023736271997,2.081391392378841,15.52550305889424,0.6087728229740658,2.2919267259204537,2.6091419739581982,0.9562112627067497
9966.75,12.6388,2.4991,2.0643,1.9343,1.7893,77.25,5.7735,1.19,2.813,0.775,Chevron,1.0,0.8912898,9.209679,5.881261889636517,1.382202734252555,1.866491549952653,16.151490273323947,0.6156447036301357,2.347301460483376,2.6340062998250753,0.9581237370489252
